,Date,Time,Stadium,City,Match Details,Team Playing,Total Runs,Total Wickets,Batsman Names,Out/Not Out,Balls Played,Runs Scored,Fours,Sixes,Strike Rate
0,"Mar 31, ",07:30 PM,"Narendra Modi Stadium, ",Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary",Chennai Super Kings Innings,178,7,Conway,b Shami,6,1,0,0,16.67
1,"Mar 31, ",07:30 PM,"Narendra Modi Stadium, ",Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary",Chennai Super Kings Innings,178,7,Ruturaj Gaikwad,c Shubman Gill b Alzarri Joseph,50,92,4,9,184.00
2,"Mar 31, ",07:30 PM,"Narendra Modi Stadium, ",Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary",Chennai Super Kings Innings,178,7,Moeen,c W Saha b Rashid Khan,17,23,4,1,135.29
3,"Mar 31, ",07:30 PM,"Narendra Modi Stadium, ",Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary",Chennai Super Kings Innings,178,7,Stokes,c W Saha b Rashid Khan,6,7,1,0,116.67
4,"Mar 31, ",07:30 PM,"Narendra Modi Stadium, ",Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary",Chennai Super Kings Innings,178,7,Rayudu,b Joshua Little,12,12,0,1,100.00
5,"Mar 31, ",07:30 PM,"Narendra Modi Stadium, ",Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary",Chennai Super Kings Innings,178,7,Shivam Dube,c Rashid Khan b Shami,18,19,0,1,105.56
6,"Mar 31, ",07:30 PM,"Narendra Modi Stadium, ",Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary",Chennai Super Kings Innings,178,7,Ravindra Jadeja,c Vijay Shankar b Alzarri Joseph,2,1,0,0,50.00
7,"Mar 31, ",07:30 PM,"Narendra Modi Stadium, ",Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary",Chennai Super Kings Innings,178,7,Dhoni (c & wk),not out,7,14,1,1,200.00
8,"Mar 31, ",07:30 PM,"Narendra Modi Stadium, ",Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary",Chennai Super Kings Innings,178,7,Santner,not out,3,1,0,0,33.33
9,"Mar 31, ",07:30 PM,"Narendra Modi Stadium, ",Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary",Gujarat Titans Innings,182,5,Wriddhiman Saha (wk),c Shivam Dube b Rajvardhan Hangargekar,16,25,2,2,156.25
10,"Mar 31, ",07:30 PM,"Narendra Modi Stadium, ",Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary",Gujarat Titans Innings,182,5,Shubman Gill,c Ruturaj Gaikwad b Tushar Deshpande,36,63,6,3,175.00
