,Date,Time,Stadium,City,Match Details,Team Bowling,Total Runs Conceeded,Total Wickets Taken,Bowler Name,Overs,Maidens,Runs,Wickets,No Balls,Wides,Economies
0,"Mar 31, ",07:30 PM,"Narendra Modi Stadium, ",Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary",Gujarat Titans Innings,178,7,Shami,4,0,29,2,1,0,7.20
1,"Mar 31, ",07:30 PM,"Narendra Modi Stadium, ",Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary",Gujarat Titans Innings,178,7,Hardik Pandya (c),3,0,28,0,0,0,9.30
2,"Mar 31, ",07:30 PM,"Narendra Modi Stadium, ",Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary",Gujarat Titans Innings,178,7,Joshua Little,4,0,41,1,0,0,10.20
3,"Mar 31, ",07:30 PM,"Narendra Modi Stadium, ",Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary",Gujarat Titans Innings,178,7,Rashid Khan,4,0,26,2,0,0,6.50
4,"Mar 31, ",07:30 PM,"Narendra Modi Stadium, ",Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary",Gujarat Titans Innings,178,7,Alzarri Joseph,4,0,33,2,0,0,8.20
5,"Mar 31, ",07:30 PM,"Narendra Modi Stadium, ",Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary",Gujarat Titans Innings,178,7,Yash Dayal,1,0,14,0,0,0,14.00
6,"Mar 31, ",07:30 PM,"Narendra Modi Stadium, ",Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary",Chennai Super Kings Innings,182,5,Deepak Chahar,4,0,29,0,0,0,7.20
7,"Mar 31, ",07:30 PM,"Narendra Modi Stadium, ",Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary",Chennai Super Kings Innings,182,5,Tushar Deshpande,3.2,0,51,1,1,1,15.30
8,"Mar 31, ",07:30 PM,"Narendra Modi Stadium, ",Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary",Chennai Super Kings Innings,182,5,Rajvardhan Hangargekar,4,0,36,3,1,3,9.00
9,"Mar 31, ",07:30 PM,"Narendra Modi Stadium, ",Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary",Chennai Super Kings Innings,182,5,Mitchell Santner,4,0,32,0,0,0,8.00
10,"Mar 31, ",07:30 PM,"Narendra Modi Stadium, ",Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary",Chennai Super Kings Innings,182,5,Ravindra Jadeja,4,0,28,1,0,0,7.00
11,"Apr 01, ",03:30 PM,"Punjab Cricket Association IS Bindra Stadium, ",Mohali,"Punjab Kings vs Kolkata Knight Riders, 2nd Match - Live Cricket Score, Commentary",Kolkata Knight Riders Innings,191,5,Umesh,4,0,27,1,0,0,6.80
12,"Apr 01, ",03:30 PM,"Punjab Cricket Association IS Bindra Stadium, ",Mohali,"Punjab Kings vs Kolkata Knight Riders, 2nd Match - Live Cricket Score, Commentary",Kolkata Knight Riders Innings,191,5,Southee,4,0,54,2,0,0,13.50
13,"Apr 01, ",03:30 PM,"Punjab Cricket Association IS Bindra Stadium, ",Mohali,"Punjab Kings vs Kolkata Knight Riders, 2nd Match - Live Cricket Score, Commentary",Kolkata Knight Riders Innings,191,5,Narine,4,0,40,1,0,1,10.00
14,"Apr 01, ",03:30 PM,"Punjab Cricket Association IS Bindra Stadium, ",Mohali,"Punjab Kings vs Kolkata Knight Riders, 2nd Match - Live Cricket Score, Commentary",Kolkata Knight Riders Innings,191,5,Chakaravarthy,4,0,26,1,0,1,6.50
15,"Apr 01, ",03:30 PM,"Punjab Cricket Association IS Bindra Stadium, ",Mohali,"Punjab Kings vs Kolkata Knight Riders, 2nd Match - Live Cricket Score, Commentary",Kolkata Knight Riders Innings,191,5,Thakur,4,0,43,0,1,0,10.80
16,"Apr 01, ",03:30 PM,"Punjab Cricket Association IS Bindra Stadium, ",Mohali,"Punjab Kings vs Kolkata Knight Riders, 2nd Match - Live Cricket Score, Commentary",Punjab Kings Innings,146,7,Sam Curran,3,0,38,1,0,0,12.70
17,"Apr 01, ",03:30 PM,"Punjab Cricket Association IS Bindra Stadium, ",Mohali,"Punjab Kings vs Kolkata Knight Riders, 2nd Match - Live Cricket Score, Commentary",Punjab Kings Innings,146,7,Arshdeep Singh,3,0,19,3,0,0,6.30
18,"Apr 01, ",03:30 PM,"Punjab Cricket Association IS Bindra Stadium, ",Mohali,"Punjab Kings vs Kolkata Knight Riders, 2nd Match - Live Cricket Score, Commentary",Punjab Kings Innings,146,7,Nathan Ellis,3,0,27,1,2,0,9.00
19,"Apr 01, ",03:30 PM,"Punjab Cricket Association IS Bindra Stadium, ",Mohali,"Punjab Kings vs Kolkata Knight Riders, 2nd Match - Live Cricket Score, Commentary",Punjab Kings Innings,146,7,Sikandar Raza,3,0,25,1,0,1,8.30
20,"Apr 01, ",03:30 PM,"Punjab Cricket Association IS Bindra Stadium, ",Mohali,"Punjab Kings vs Kolkata Knight Riders, 2nd Match - Live Cricket Score, Commentary",Punjab Kings Innings,146,7,Rishi Dhawan,1,0,15,0,0,0,15.00
21,"Apr 01, ",03:30 PM,"Punjab Cricket Association IS Bindra Stadium, ",Mohali,"Punjab Kings vs Kolkata Knight Riders, 2nd Match - Live Cricket Score, Commentary",Punjab Kings Innings,146,7,Rahul Chahar,2,0,12,1,0,0,6.00
22,"Apr 01, ",03:30 PM,"Punjab Cricket Association IS Bindra Stadium, ",Mohali,"Punjab Kings vs Kolkata Knight Riders, 2nd Match - Live Cricket Score, Commentary",Punjab Kings Innings,146,7,Harpreet Brar,1,0,7,0,0,0,7.00
